subject,shortcut,shour,smin,ssec,duration
數學 A 考科,a,9,20,0,100
自然考科,n,12,50,0,110
英文考科,e,9,20,0,100
國語文綜合能力測驗,r,12,50,0,90
國語文寫作能力測驗,w,15,20,0,90
數學 B 考科,b,9,20,0,100
社會考科,s,12,50,0,110
